,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,writer,Title posted on indeed.com -Gladue Writer,"June 26, 2024",Not specified,,,,"June 26, 2024",Mohawks of the Bay of Quinte,Deseronto (ON),Salary not available,9338564501,https://ca.indeed.com/viewjob?jk=41bedb5404a9c22d&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Deseronto , ON",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9338564501,Not specified
1,writer,Title posted on Monster -Content Writer,"June 24, 2024",2024-07-25,,,,"June 24, 2024",IIQAF,Cornwall (ON),Salary not available,177183,https://job-openings.monster.ca/content-writer-ontario-on-ca-iiqaf/3040e6b8-eabf-47cd-b337-a6c8153cdf30?mescoid=2700442001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Cornwall , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #177183,Not specified
2,writer,Title posted on indeed.com -Advancement Proposal Writer,"June 14, 2024",Not specified,,,,"June 14, 2024",University of Manitoba,Winnipeg (MB),"$55,983.20 to $78,897.00 annually",9323783991,https://ca.indeed.com/viewjob?jk=7167823e90d34b0d&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Winnipeg , MB","$ 55,983.2 to $ 78,897 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9323783991,Not specified
3,writer,Title posted on Monster -Rédacteur Rédactrice de propositions (Proposal Writer),"June 03, 2024",2024-07-04,,,,"June 03, 2024",Colliers Project Leaders,Montréal (QC),Salary not available,06878a6cecbf431f9b6422ed643aaf99,https://job-openings.monster.ca/rédacteur-rédactrice-de-propositions-proposal-writer-montreal-qc-ca-colliers-project-leaders/3ed87557-7c40-487c-9b8b-364c1827186e?mescoid=4100691001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Montréal , QC",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #06878a6cecbf431f9b6422ed643aaf99,Not specified
4,writer,Title posted on indeed.com -Grant Writer,"June 23, 2024",Not specified,,,,"June 23, 2024",Mishka Social Services,Hamilton (ON),$20.50 hourly,9334556714,https://ca.indeed.com/viewjob?jk=ad7b802a2546e807&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Hamilton , ON",$ 20.50 HOUR hourly,Part time,Starts as soon as possible,1 vacancy,indeed.com #9334556714,Not specified
5,writer,Title posted on indeed.com -Proposal Writer,"June 11, 2024",Not specified,,,,"June 11, 2024",Innivec,Vancouver (BC),"$50,000.00 to $55,000.00 annually",9318526503,https://ca.indeed.com/viewjob?jk=6f1b6b43a0a6fea4&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Vancouver , BC","$ 50,000 to $ 55,000 YEAR annually",Full time,Starts as soon as possible,1 vacancy,indeed.com #9318526503,Not specified
6,writer,Title posted on indeed.com -Proposal Writer,"June 11, 2024",Not specified,,,,"June 11, 2024",Innivec,Toronto (ON),"$50,000.00 to $55,000.00 annually",9318527355,https://ca.indeed.com/viewjob?jk=16f2c8d5fd6a7c0d&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON","$ 50,000 to $ 55,000 YEAR annually",Full time,Starts as soon as possible,1 vacancy,indeed.com #9318527355,Not specified
7,writer,Title posted on indeed.com -Grant Writer,"June 12, 2024",Not specified,,,,"June 12, 2024",Innivec,Ottawa (ON),"$50,000.00 annually",9319829940,https://ca.indeed.com/viewjob?jk=4de6c6e5af4f2093&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Ottawa , ON","$ 50,000 YEAR annually",Full time,Starts as soon as possible,1 vacancy,indeed.com #9319829940,Not specified
8,writer,Title posted on indeed.com -Gladue Writer,"June 13, 2024",Not specified,,,,"June 13, 2024",Nishnawbe Aski Legal Services Corporation,Dryden (ON),Salary not available,9321775127,https://ca.indeed.com/viewjob?jk=07dbbc462ba61579&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Dryden , ON",Not available,Full time,Starts as soon as possible,1 vacancy,indeed.com #9321775127,Not specified
9,writer,Title posted on indeed.com -Proposal Writer,"June 06, 2024",Not specified,,,,"June 06, 2024",Innivec,Vancouver (BC),"$50,000.00 to $55,000.00 annually",9312330180,https://ca.indeed.com/viewjob?jk=6d09bce9359d21ec&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Vancouver , BC","$ 50,000 to $ 55,000 YEAR annually",Full time,Starts as soon as possible,1 vacancy,indeed.com #9312330180,Not specified
