Job Title,Job ID,Location,Department,Posted Date,Close Date
Administrative Support Worker,161033,Charlottetown,TP/Hwy S&IT/Promotion of Hway,06/26/2024,07/12/2024
Bilingual Customer Service Representative,163050,Charlottetown,TP/AccessPEI/Riverside Dr. Acc,06/25/2024,07/11/2024
Représentante ou représentant bilingue du service à la clientèle,163050,Charlottetown,TP/AccessPEI/Riverside Dr. Acc,06/25/2024,07/11/2024
Biligual French Curriculum Evaluation Leader,163434,Summerside,ED/FEPS/Frnch InnovEdPrgs,06/24/2024,07/04/2024
Executive Administrative Assistant,162599,Charlottetown,AF/DeptMgmt/Corporate Services,06/24/2024,07/10/2024
Manager, Emergency Measures Organization,163367,Charlottetown,AG/PS&P/Emergency Measures,06/24/2024,07/10/2024
Professional Officer 18,163470,Charlottetown,HC/DM/Corp Mgmt,06/24/2024,07/10/2024
Responsable bilingue de l¿évaluation du programme d¿études français,163434,Summerside,ED/FEPS/Frnch InnovEdPrgs,06/24/2024,07/04/2024
Sexual Violence Prevention and Response Coordinator,163351,Charlottetown,WO/Interminist Women's Sec,06/24/2024,07/10/2024
Recruitment Assistants (2),163373,Charlottetown,HE/HWP/Recruit & Retention,06/21/2024,07/09/2024
HRIS Administrator,163415,Charlottetown,HS/HR/Organizational Devel,06/20/2024,07/08/2024
Bilingual Court Stenographer,162633,Charlottetown,AG/FL&CS/Court Services,06/19/2024,07/05/2024
Legislative Research Officer,163412,Charlottetown,HC/DM/Corp Mgmt,06/19/2024,07/05/2024
Rodperson,162983,Charlottetown,TP/Hway Design/Hwy Desig,06/19/2024,07/05/2024
Sténographe judiciaire bilingue,162633,Charlottetown,AG/FL&CS/Court Services,06/19/2024,07/05/2024
Bilingual Administrative Support Worker,162082,Summerside,SS/SP/Administration/West,06/18/2024,07/04/2024
Casual Youth Worker,163402,Summerside,AG/C&CS/Summerside Youth Ctr,06/18/2024,08/02/2024
Pension Administration Technical Specialist,163358,Charlottetown,PT/P&CM/Pensions & Benefits,06/18/2024,07/04/2024
Plumbing Inspector,163377,Montague,HC/Land/Inspection Services,06/18/2024,07/04/2024
Préposé(e) au soutien administratif bilingue,162082,Summerside,SS/SP/Administration/West,06/18/2024,07/04/2024
Admin Assistant 11,163337,Charlottetown,HS/Fin/Administration,06/17/2024,07/03/2024
Administratrice ou administrateur bilingue des programmes de français,162446,Charlottetown,PS/SC&OD/Staff/Class & HR Plan,06/17/2024,07/03/2024
Bilingual French Language Program Administrator,162446,Charlottetown,PS/SC&OD/Staff/Class & HR Plan,06/17/2024,07/03/2024
Digital Health Lead,163320,Charlottetown,HE/HI/ACCESS Atlantic Initia,06/17/2024,07/03/2024
Highway Maint Superintendents,163341,Charlottetown,TP/QC Hway Mtc/Admin -Cent Reg,06/17/2024,07/03/2024
(Temp) Program Dev. Lead,163293,Charlottetown,HS/CHSC/CommSpecialstSrv-Admin,06/14/2024,07/02/2024
Adult Services Librarian,163288,Charlottetown,ED/Prov L/Prov. Libraries,06/13/2024,06/28/2024
GIS Programmer Analyst,163294,Charlottetown,TB/ITSS BAS/Syst Support,06/13/2024,06/28/2024
Project Manager - Health Innov,163296,Charlottetown,HE/HI/Hlth Care Innov Wrkin,06/13/2024,06/28/2024
Technical Services Library Technician,163290,Morell,ED/Prov L/Prov. Libraries,06/13/2024,06/28/2024
(2) Business Application Specialist,163275,Charlottetown,TB/ITSS BAS/Syst Support,06/12/2024,06/27/2024
(Temp) Pharmacy Manager,163109,Charlottetown,HS/HSPF/HP/QEH/Pharmacy,06/12/2024,06/27/2024
BIL Outreach Wrk (Stu W/B Team),163080,Summerside,AG/C&CS/Youth Justice Services,06/12/2024,06/27/2024
LTC Program Manager,163265,Charlottetown,HS/CHSC/CHC-Administration,06/12/2024,06/27/2024
Travailleur ou travailleuse d'approche bilingue (équipe de bien-être scolaire),163080,Summerside,AG/C&CS/Youth Justice Services,06/12/2024,06/27/2024
Admin Assistant 12,161934,Summerside,HS/HSPF/PCH/General Admin,06/11/2024,07/04/2024
Executive Assistant,162466,Charlottetown,HS/CEO Office,06/11/2024,Open Until Filled
Nurse Manager 1 (Medical/Palliative Care Unit),163285,Summerside,HS/HSPF/NS/PCH/Nrsg-Admin.,06/11/2024,06/27/2024
Health Promoter,162390,Charlottetown,HE/CPHO/Health Promotion,06/07/2024,Open Until Filled
Director of Nursing 22N,162332,Alberton,HS/HSPF/WesternH/AcuteCare Nrs,06/05/2024,Open Until Filled
Child and Youth Care Worker,162562,Multiple,SS/CFS/Residential Services,06/04/2024,Open Until Filled
Maintenance Carpenter,160488,Charlottetown,HC/Housing/Director's Office,05/24/2024,Open Until Filled
Casual Licensed Practical Nurse,162779,Charlottetown,,05/15/2024,Open Until Filled
AccessAbility Supports Coordinator,162583,Multiple,SS/Social Programs,05/02/2024,Open Until Filled
Case Aide,162570,Multiple,SS/Child & Family Services,05/02/2024,Open Until Filled
Family Service Worker,162572,Multiple,SS/Child & Family Services,05/02/2024,Open Until Filled
Social Supports Coordinator,162591,Multiple,SS/Social Programs,05/02/2024,Open Until Filled
Social Worker,162566,Summerside,SS/Child & Family Services,05/02/2024,Open Until Filled
Social Worker,162564,Souris,SS/Child & Family Services,05/02/2024,Open Until Filled
Social Worker,162564,Charlottetown,SS/Child & Family Services,05/02/2024,Open Until Filled
Transport Driver,162575,Multiple,SS/Child & Family Services,05/02/2024,Open Until Filled
Environmental Health Officer,161073,Charlottetown,HE/CPHO/Environmental Health,04/26/2024,Open Until Filled
Medical Physicist,160829,Charlottetown,HS/HSPF/HP/QEH/Diag Imag Admin,04/26/2024,Open Until Filled
Mgr Clinical Serv, Prov Renal,160513,Charlottetown,HS/CHSC/Hemodialysis-QEH,04/08/2024,Open Until Filled
Bilingual Judicial Clerk,160504,Georgetown,AG/FL&CS/Court Services,03/06/2024,Open Until Filled
Commis judiciaire bilingue,160504,Georgetown,AG/FL&CS/Court Services,03/06/2024,Open Until Filled
Dentist,159981,Charlottetown,HS/CHSC/PH/Dental Services,11/29/2023,Open Until Filled
Bilingual Admin Support Worker (Casual),160119,Undefined location,PS/SC&OD/Staff/Class & HR Plan,11/16/2023,Open Until Filled
Préposé(e) au soutien administratif bilingue,160119,Undefined location,PS/SC&OD/Staff/Class & HR Plan,11/16/2023,Open Until Filled
Casual Administrative Support Worker,160045,Undefined location,PS/SC&OD/Staff/Class & HR Plan,11/07/2023,Open Until Filled
Casual Clerical Support Worker,160040,Undefined location,PS/SC&OD/Staff/Class & HR Plan,11/07/2023,Open Until Filled
Bilingual Autism Specialist,158600,Charlottetown,ED/ECD/Autism Service,10/06/2023,Open Until Filled
Spécialiste en autisme bilingue,158600,Charlottetown,ED/ECD/Autism Service,10/06/2023,Open Until Filled
BIL Resident Care Worker,162965,Charlottetown,HS/CHSC/BGH/Harbour,06/26/2024,07/12/2024
Casual Addiction Workers,163538,Charlottetown,HS/MH&A/AD Transition Unit,06/26/2024,07/12/2024
Clerk 4,163548,Charlottetown,HS/Fin/Comptroller-Bus.Off.,06/26/2024,07/12/2024
Clinical Intake Therapist,162735,Montague,HS/MH&A/ComMentalHlth-East,06/26/2024,07/12/2024
Dietitian 17A,162379,Charlottetown,HS/HSPF/SP/QEH/Nutrition Serv,06/26/2024,07/12/2024
LPN - Replacement,162083,Alberton,HS/HSPF/CommH/Nrsg Replacement,06/26/2024,07/12/2024
LPN - Replacement,159320,O'Leary,HS/HSPF/CommH/Nrsg Replacement,06/26/2024,07/12/2024
Mgr, Programs&CommIntregration,163513,Charlottetown,HS/MH&A/NS/HH/Nrsg Admin,06/26/2024,07/12/2024
Patient Care Worker (Unit 1),163382,Charlottetown,HS/HSPF/NS/QEH/Nrsg Unit 1,06/26/2024,07/12/2024
Préposée ou préposé aux soins bilingue,162965,Charlottetown,HS/CHSC/BGH/Harbour,06/26/2024,07/12/2024
RN 2 - Replacement,163536,Summerside,HS/CHSC/WedgewoodM/NrsgReplace,06/26/2024,07/12/2024
Social Worker 17A,160426,Charlottetown,HS/MH&A/Richmond Centre,06/26/2024,07/12/2024
Social Worker 19 (Social Work),162749,Charlottetown,HS/HSPF/HP/QEH/Social Work,06/26/2024,07/05/2024
