Title,Employer,Location,Date,Description,Industry,Source,Link
Visual Merchandising Specialist | Regent Mall,lululemon athletica inc.,Fredericton,"Jun 24, 2024","Who We Are lululemon is an innovative performance apparel company for yoga, running, training, and other athletic pursuits. Setting the bar in technical fabrics and functional design, we create transformational products and experiences that support...","Arts, Cultural, Recreation, Sports",lululemon athletica inc.,https://careers.lululemon.com/en_US/careers/JobDetail/Visual-Merchandising-Specialist-Regent-Mall/39545
Educator (Part Time) | Regent Mall | Fredericton NB,lululemon athletica inc.,Fredericton,"Jun 24, 2024","Who We Are: lululemon is an innovative performance apparel company for yoga, running, training, and other athletic pursuits. Setting the bar in technical fabrics and functional design, we create transformational products and experiences that support...","Social, Legal, Education, Gov't",lululemon athletica inc.,https://careers.lululemon.com/en_US/careers/JobDetail/Educator-Part-Time-Regent-Mall-Fredericton-NB/39546
Computer Numerical Control (CNC) Programmer,Maritime Hydraulic,Moncton,"Jun 24, 2024","Overview Languages English Education - College/CEGEP Experience 5 years or more Green job Help - Green job - Help Green job - Help Green jobs contribute to environmental preservation, conservation, and restoration. Learn more about green jobs . This...","Engineers, Architects, IT, Natural Science",Government of Canada,https://www.jobbank.gc.ca/jobsearch/jobposting/41339335?source=searchresults
Manager - Fredericton Smythe Street,Fit4less,Fredericton,"Jun 24, 2024","FIT4LESS MANAGER Who is a Fit4Less Manager? The Fit4Less Manager leads a team of club Associates to run a financially healthy club focused on clean, friendly, and automated experiences for both Members and Associates. Job Summary: Manages, monitors...","Business, Finance, Administration",CareerBeacon,https://www.careerbeacon.com/en/job-4/1370730/fit4less/manager-fredericton-smythe-street/fredericton-nb
Climate Action Coordinator,University of New Brunswick,Fredericton,"Jun 24, 2024","Capital Planning & Operations Capital Planning & Operations is a team of approximately 130 employees that take tremendous pride in the campus and deliver exceptional service that supports the University of New Brunswick's mission, vision and values....","Social, Legal, Education, Gov't",CareerBeacon,https://www.careerbeacon.com/en/job/2087018/university-of-new-brunswick/climate-action-coordinator/fredericton-nb
Climate Action Coordinator,University of New Brunswick,Saint John,"Jun 24, 2024","Capital Planning & Operations Capital Planning & Operations is a team of approximately 130 employees that take tremendous pride in the campus and deliver exceptional service that supports the University of New Brunswick's mission, vision and values....","Social, Legal, Education, Gov't",CareerBeacon,https://www.careerbeacon.com/en/job/2087018/university-of-new-brunswick/climate-action-coordinator/fredericton-nb
Administrative Coordinator,University of New Brunswick,Fredericton,"Jun 24, 2024","Closing Date: July 2, 2024 at 4:00 PM Learning Futures The Centre for Learning Futures is an exciting new initiative at UNB contemplated in UNB toward 2030. The Associate Vice Provost (AVP) (Learning Futures) has the responsibility to bring together...","Business, Finance, Administration",CareerBeacon,https://www.careerbeacon.com/en/job/2086995/university-of-new-brunswick/administrative-coordinator/fredericton-nb
Food Service Worker,Compass Group Canada,Saint John,"Jun 24, 2024","Overview Languages English Education - No degree, certificate or diploma Experience 7 months to less than 1 year Responsibilities Tasks - Bring clean dishes, flatware and other items to serving areas and set tables - Carrying and replace linen -...","Sales, Services",Government of Canada,https://www.jobbank.gc.ca/jobsearch/jobposting/41342496?source=searchresults
Early Childhood Educator,Moncton Headstart Inc.,Moncton,"Jun 24, 2024","CAREER OPPORTUNITY Early Childhood Educator (Full-time, Monday- Friday) Since 1974, Moncton Headstart, an Anglophone registered Canadian charity providing services in English, has been addressing the barriers that make it difficult for disadvantaged...","Social, Legal, Education, Gov't",CareerBeacon,https://www.careerbeacon.com/en/job/2086994/moncton-headstart-inc/early-childhood-educator/moncton-nb
"Sales Development Manager, Relief",Coca-Cola,Moncton,"Jun 24, 2024","Our Purpose and Growth Culture: We are taking deliberate action to nurture an inclusive culture that is grounded in our company purpose, to refresh the world and make a difference. We act with a growth mindset, take an expansive approach to what's...","Sales, Services",mygwork,https://www.mygwork.com/en/jobs/coca-cola-sales-development-manager-relief-1/detail/4854129/120768
Fit4Less Host - Fredericton Smythe Street,GOODLIFE FITNESS,Fredericton,"Jun 24, 2024","FIT4LE SS HOST Who is a Host? The Host provides friendly customer and membership services and completes daily cleaning and minor maintenance tasks to standards and expectations to deliver Fit4Less' friendly, clean, and automated brand. Job Summary:...","Business, Finance, Administration",CareerBeacon,https://www.careerbeacon.com/en/job-4/1370735/goodlife-fitness/fit4less-host-fredericton-smythe-street/fredericton-nb
