Title,Link,Facility,Location,Shift Type,Competition,Department,Type of Employment,Union Status,Closing Date,Pay Grade,Salary Range
Social Worker (Regional Resource Assessor) (Designated),https://jobs.novascotia.ca/job/Flexible-Social-Worker-%28Regional-Resource-Assessor%29-%28Designated%29-NS-B4V-1V8/581348517/,Community Services,Flexible,03-Jul-24,42815,Community Services,Permanent,Not found,03-Jul-24,PR 09 - PR 15,"Salary Range:  $2,173.77 - $3,364.90 Bi-Weekly"
Correctional Officer - Relief Roster (Designated),https://jobs.novascotia.ca/job/HALIFAX-Correctional-Officer-Relief-Roster-%28Designated%29-NS-B3J-1T0/575552817/,Justice,Not found,07-Nov-24,Not found,Not found,07-Nov-24,Not found,Not found,Not found,Not found
Administrative Assistant (Secretary 2) - Casual Relief,https://jobs.novascotia.ca/job/KENTVILLE-Administrative-Assistant-%28Secretary-2%29-Casual-Relief-NS-B4N-2E3/582234617/,Justice,Location: KENTVILLE,16-Jul-24,Not found,Department: Justice,Type of Employment: Casual,Not found,Closing Date: 16-Jul-24,Not found,Pay Grade:  CL 18
Crown Attorney,https://jobs.novascotia.ca/job/KENTVILLE-Crown-Attorney-NS-B4N-2E3/582239617/,Public Prosecution Service,Not found,09-Jul-24,Not found,Not found,Not found,Not found,Not found,CA 01 - SCA 10,"Salary Range:  $3,185.77 - $5,877.68 Bi-Weekly"
Area Firearms Officer (Compliance Officer 3) - Halifax,https://jobs.novascotia.ca/job/HALIFAX-Area-Firearms-Officer-%28Compliance-Officer-3%29-Halifax-NS-B3J-2L6/582235217/,Justice,HALIFAX,09-Jul-24,43359,Justice,Permanent,NSGEU - NSPG,09-Jul-24,TE 24,"Salary Range:  $2,370.01 - $2,791.38 Bi-Weekly"
Area Firearms Officer (Compliance Officer 3) - Yarmouth,https://jobs.novascotia.ca/job/YARMOUTH-Area-Firearms-Officer-%28Compliance-Officer-3%29-Yarmouth-NS-B5A-2T1/582235317/,Justice,YARMOUTH,09-Jul-24,43358,Justice,Permanent,NSGEU - NSPG,09-Jul-24,TE 24,"Salary Range:  $2,370.01 - $2,791.38 Bi-Weekly"
Engineering Aide (Clerk 4) (New Minas),https://jobs.novascotia.ca/job/NEW-MINAS-Engineering-Aide-%28Clerk-4%29-%28New-Minas%29-NS-B4N-3G7/582227917/,Public Works,NEW MINAS,09-Jul-24,43402,Public Works,Term,NSGEU - NSPG,09-Jul-24,CL 22,"Salary Range:  $1,934.21 - $2,139.34 Bi-Weekly"
Dispatch Operator 1,https://jobs.novascotia.ca/job/SHUBENACADIE-Dispatch-Operator-1-NS-B0N-2H0/582232217/,Service Nova Scotia,SHUBENACADIE,07-Jul-24,43374,Service Nova Scotia,Permanent,NSGEU - NSPG,07-Jul-24,TE 17,"Salary Range:  $1,792.63 - $2,105.04 Bi-Weekly"
Clerk 3 (Administration and Vehicle Tax Clerk),https://jobs.novascotia.ca/job/HALIFAX-Clerk-3-%28Administration-and-Vehicle-Tax-Clerk%29-NS-B3J-3K5/582232317/,Service Nova Scotia,HALIFAX,09-Jul-24,43267,Service Nova Scotia,Term,NSGEU - NSPG,09-Jul-24,CL 18,"Salary Range:  $1,684.00 - $1,884.17 Bi-Weekly"
"Co-op Finance Student, Fall 2024 (2 Opportunities)",https://jobs.novascotia.ca/job/HALIFAX-Co-op-Finance-Student%2C-Fall-2024-%282-Opportunities%29-NS-B3J2A8/582231117/,Community Services,"Location: Halifax, Kentville or New Glasgow",09-Jul-24,Not found,Department: Community Services,Type of Employment: Student,Not found,Closing Date: 09-Jul-24,Not found,Pay Grade:  HOURLY
